iter	Passed	Remaining
738	68416	42679
739	68502	42582
740	68596	42490
741	68677	42391
742	68767	42297
743	68848	42197
744	68948	42109
745	69037	42015
746	69139	41927
747	69265	41855
748	69382	41777
749	69494	41696
750	69581	41600
751	69664	41502
752	69765	41414
753	69875	41331
754	70028	41275
755	70133	41189
756	70255	41113
757	70363	41029
758	70471	40945
759	70571	40856
760	70661	40762
761	70755	40670
762	70855	40581
763	70950	40489
764	71054	40403
765	71196	40338
766	71298	40250
767	71409	40167
768	71523	40086
769	71614	39992
770	71701	39896
771	71795	39803
772	71892	39713
773	72029	39644
774	72165	39574
775	72305	39506
776	72431	39431
777	72526	39339
778	72626	39250
779	72722	39158
780	72812	39063
781	72897	38965
782	72978	38865
783	73067	38770
784	73142	38667
785	73226	38569
786	73333	38483
787	73409	38381
788	73495	38284
789	73593	38194
790	73682	38098
791	73769	38002
792	73871	37914
793	73962	37819
794	74048	37722
795	74160	37639
796	74259	37548
797	74351	37455
798	74442	37360
799	74532	37266
800	74621	37170
801	74705	37073
802	74794	36978
803	74874	36878
804	74971	36787
805	75044	36684
806	75145	36594
807	75234	36499
808	75320	36403
809	75409	36308
810	75503	36215
811	75588	36118
812	75685	36027
813	75773	35931
814	75864	35837
815	75958	35745
816	76049	35651
817	76145	35559
818	76228	35461
819	76329	35372
820	76429	35282
821	76518	35187
822	76616	35096
823	76707	35002
824	76810	34913
825	76917	34826
826	77004	34731
827	77095	34637
828	77180	34540
829	77260	34441
830	77352	34347
831	77455	34259
832	77530	34158
833	77612	34060
834	77706	33967
835	77785	33868
836	77877	33774
837	77970	33681
838	78137	33620
839	78242	33532
840	78340	33441
841	78428	33345
842	78520	33252
843	78608	33156
844	78693	33060
845	78814	32978
846	78907	32885
847	78982	32785
848	79050	32681
849	79140	32587
850	79224	32490
851	79314	32395
852	79412	32304
853	79506	32212
854	79598	32118
855	79673	32018
856	79759	31922
857	79839	31823
858	79938	31733
859	80036	31642
860	80124	31547
861	80216	31453
862	80301	31357
863	80386	31261
864	80475	31166
865	80560	31070
866	80662	30980
867	80743	30883
868	80836	30790
869	80916	30692
870	81021	30604
871	81159	30527
872	81270	30441
873	81370	30351
874	81466	30258
875	81558	30165
876	81652	30072
877	81760	29984
878	81849	29890
879	81935	29794
880	82026	29700
881	82131	29612
882	82217	29516
883	82300	29419
884	82392	29326
885	82492	29235
886	82588	29143
887	82683	29050
888	82769	28955
889	82846	28856
890	82934	28761
891	83016	28664
892	83116	28574
893	83224	28486
894	83307	28389
895	83396	28295
896	83494	28203
897	83572	28105
898	83665	28012
899	83760	27920
900	83847	27824
901	83943	27732
902	84047	27643
903	84140	27550
904	84243	27460
905	84337	27367
906	84422	27272
907	84504	27175
908	84596	27082
909	84683	26986
910	84774	26893
911	84865	26799
912	84958	26706
913	85048	26612
914	85152	26522
915	85246	26430
916	85332	26334
917	85419	26239
918	85500	26143
919	85594	26050
920	85679	25954
921	85746	25854
922	85845	25762
923	85929	25667
924	86038	25579
925	86125	25484
926	86219	25391
927	86314	25299
928	86409	25206
929	86488	25109
930	86599	25021
931	86689	24927
932	86782	24834
933	86870	24740
934	86959	24646
935	87057	24554
936	87167	24466
937	87255	24371
938	87347	24278
939	87447	24187
940	87541	24094
941	87636	24002
942	87728	23908
943	87810	23812
944	87904	23720
945	87991	23625
946	88086	23533
947	88187	23442
948	88285	23350
949	88379	23257
950	88471	23164
951	88559	23070
952	88648	22976
953	88727	22879
954	88812	22784
955	88923	22695
956	89020	22603
957	89116	22511
958	89200	22416
959	89284	22321
960	89395	22232
961	89487	22139
962	89579	22046
963	89651	21947
964	89724	21849
965	89815	21756
966	89906	21663
967	89997	21569
968	90090	21476
969	90177	21382
970	90276	21290
971	90373	21198
972	90456	21103
973	90551	21010
974	90638	20916
975	90728	20822
976	90814	20728
977	90904	20634
978	90990	20540
979	91085	20447
980	91172	20353
981	91248	20256
982	91343	20164
983	91413	20066
984	91505	19973
985	91614	19883
986	91703	19790
987	91790	19695
988	91857	19597
989	91949	19504
990	92030	19409
991	92125	19316
992	92216	19223
993	92307	19130
994	92399	19037
995	92489	18943
996	92589	18852
997	92659	18754
998	92748	18661
999	92815	18563
1000	92901	18468
1001	92994	18376
1002	93094	18284
1003	93170	18188
1004	93265	18096
1005	93354	18002
